"domain_dbc","message_name","old_id_hex","old_id_dec","new_tier","new_group","new_index","new_id_hex","new_id_dec","priority_class","owner_ecu","flow_ref","comm_ref","var_ref","code_ref","test_ref","impact_note","status","approver","approved_date"
"chassis_can.dbc","frmTcsStateMsg","0x10D","269","1","1","6","0x126","294","High","ACCEL_CTRL","0302_NWflowDef.md::frmTcsStateMsg","0303_Communication_Specification.md::frmTcsStateMsg","","canoe/cfg/channel_assign/Chassis/ACCEL_CTRL.can","","Owner-based 3/3/5 reassignment (G2 candidate); pending G1 approval.","Approved","이준영","2026-03-06"
"chassis_can.dbc","frmBrakeTempMsg","0x10E","270","1","1","7","0x127","295","High","BRK_CTRL","0302_NWflowDef.md::frmBrakeTempMsg","0303_Communication_Specification.md::frmBrakeTempMsg","","canoe/cfg/channel_assign/Chassis/BRK_CTRL.can","","Owner-based 3/3/5 reassignment (G2 candidate); pending G1 approval.","Approved","이준영","2026-03-06"
"chassis_can.dbc","frmSteeringAngleMsg","0x10F","271","1","1","8","0x128","296","High","STEER_CTRL","0302_NWflowDef.md::frmSteeringAngleMsg","0303_Communication_Specification.md::frmSteeringAngleMsg","","canoe/cfg/channel_assign/Chassis/STEER_CTRL.can","","Owner-based 3/3/5 reassignment (G2 candidate); pending G1 approval.","Approved","이준영","2026-03-06"
"infotainment_can.dbc","frmNavContextCanMsg","0x110","272","2","5","3","0x2A3","675","Medium","VAL_SCENARIO_CTRL","0302_NWflowDef.md::frmNavContextCanMsg","0303_Communication_Specification.md::frmNavContextCanMsg","","canoe/cfg/channel_assign/ETH_Backbone/VAL_SCENARIO_CTRL.can","","Owner-based 3/3/5 reassignment (G2 candidate); pending G1 approval.","Approved","이준영","2026-03-06"
"chassis_can.dbc","frmWheelPulseMsg","0x11A","282","1","0","4","0x104","260","High","CHS_GW","0302_NWflowDef.md::frmWheelPulseMsg","0303_Communication_Specification.md::frmWheelPulseMsg","","canoe/cfg/channel_assign/Chassis/CHS_GW.can","","Owner-based 3/3/5 reassignment (G2 candidate); pending G1 approval.","Approved","이준영","2026-03-06"
"chassis_can.dbc","frmSuspensionStateMsg","0x11B","283","1","0","5","0x105","261","High","CHS_GW","0302_NWflowDef.md::frmSuspensionStateMsg","0303_Communication_Specification.md::frmSuspensionStateMsg","","canoe/cfg/channel_assign/Chassis/CHS_GW.can","","Owner-based 3/3/5 reassignment (G2 candidate); pending G1 approval.","Approved","이준영","2026-03-06"
"chassis_can.dbc","frmTirePressureMsg","0x11C","284","1","0","6","0x106","262","High","CHS_GW","0302_NWflowDef.md::frmTirePressureMsg","0303_Communication_Specification.md::frmTirePressureMsg","","canoe/cfg/channel_assign/Chassis/CHS_GW.can","","Owner-based 3/3/5 reassignment (G2 candidate); pending G1 approval.","Approved","이준영","2026-03-06"
"chassis_can.dbc","frmChassisDiagReqMsg","0x11D","285","2","5","4","0x2A4","676","Medium","VAL_SCENARIO_CTRL","0302_NWflowDef.md::frmChassisDiagReqMsg","0303_Communication_Specification.md::frmChassisDiagReqMsg","","canoe/cfg/channel_assign/ETH_Backbone/VAL_SCENARIO_CTRL.can","","Owner-based 3/3/5 reassignment (G2 candidate); pending G1 approval.","Approved","이준영","2026-03-06"
"chassis_can.dbc","frmChassisDiagResMsg","0x11E","286","1","0","7","0x107","263","High","CHS_GW","0302_NWflowDef.md::frmChassisDiagResMsg","0303_Communication_Specification.md::frmChassisDiagResMsg","","canoe/cfg/channel_assign/Chassis/CHS_GW.can","","Owner-based 3/3/5 reassignment (G2 candidate); pending G1 approval.","Approved","이준영","2026-03-06"
"adas_can.dbc","frmAdasChassisStatusMsg","0x11F","287","1","6","1","0x1C1","449","High","ADAS_WARN_CTRL","0302_NWflowDef.md::frmAdasChassisStatusMsg","0303_Communication_Specification.md::frmAdasChassisStatusMsg","","canoe/cfg/channel_assign/ETH_Backbone/ADAS_WARN_CTRL.can","","Owner-based 3/3/5 reassignment (G2 candidate); pending G1 approval.","Approved","이준영","2026-03-06"
"chassis_can.dbc","frmBrakeWearMsg","0x120","288","1","1","9","0x129","297","High","BRK_CTRL","0302_NWflowDef.md::frmBrakeWearMsg","0303_Communication_Specification.md::frmBrakeWearMsg","","canoe/cfg/channel_assign/Chassis/BRK_CTRL.can","","Owner-based 3/3/5 reassignment (G2 candidate); pending G1 approval.","Approved","이준영","2026-03-06"
"chassis_can.dbc","frmRoadFrictionMsg","0x121","289","1","0","8","0x108","264","High","CHS_GW","0302_NWflowDef.md::frmRoadFrictionMsg","0303_Communication_Specification.md::frmRoadFrictionMsg","","canoe/cfg/channel_assign/Chassis/CHS_GW.can","","Owner-based 3/3/5 reassignment (G2 candidate); pending G1 approval.","Approved","이준영","2026-03-06"
"body_can.dbc","frmAmbientControlMsg","0x210","528","2","3","0","0x260","608","Medium","BODY_GW","0302_NWflowDef.md::frmAmbientControlMsg","0303_Communication_Specification.md::frmAmbientControlMsg","","canoe/cfg/channel_assign/Body/BODY_GW.can","","Owner-based 3/3/5 reassignment (G2 candidate); pending G1 approval.","Approved","이준영","2026-03-06"
"body_can.dbc","frmHazardControlMsg","0x211","529","2","3","1","0x261","609","Medium","BODY_GW","0302_NWflowDef.md::frmHazardControlMsg","0303_Communication_Specification.md::frmHazardControlMsg","","canoe/cfg/channel_assign/Body/BODY_GW.can","","Owner-based 3/3/5 reassignment (G2 candidate); pending G1 approval.","Approved","이준영","2026-03-06"
"body_can.dbc","frmWindowControlMsg","0x212","530","2","3","2","0x262","610","Medium","BODY_GW","0302_NWflowDef.md::frmWindowControlMsg","0303_Communication_Specification.md::frmWindowControlMsg","","canoe/cfg/channel_assign/Body/BODY_GW.can","","Owner-based 3/3/5 reassignment (G2 candidate); pending G1 approval.","Approved","이준영","2026-03-06"
"body_can.dbc","frmDriverStateMsg","0x213","531","2","3","3","0x263","611","Medium","BODY_GW","0302_NWflowDef.md::frmDriverStateMsg","0303_Communication_Specification.md::frmDriverStateMsg","","canoe/cfg/channel_assign/Body/BODY_GW.can","","Owner-based 3/3/5 reassignment (G2 candidate); pending G1 approval.","Approved","이준영","2026-03-06"
"body_can.dbc","frmDoorStateMsg","0x214","532","2","3","4","0x264","612","Medium","BODY_GW","0302_NWflowDef.md::frmDoorStateMsg","0303_Communication_Specification.md::frmDoorStateMsg","","canoe/cfg/channel_assign/Body/BODY_GW.can","","Owner-based 3/3/5 reassignment (G2 candidate); pending G1 approval.","Approved","이준영","2026-03-06"
"body_can.dbc","frmLampControlMsg","0x215","533","2","3","5","0x265","613","Medium","BODY_GW","0302_NWflowDef.md::frmLampControlMsg","0303_Communication_Specification.md::frmLampControlMsg","","canoe/cfg/channel_assign/Body/BODY_GW.can","","Owner-based 3/3/5 reassignment (G2 candidate); pending G1 approval.","Approved","이준영","2026-03-06"
"body_can.dbc","frmWiperStateMsg","0x216","534","2","3","6","0x266","614","Medium","BODY_GW","0302_NWflowDef.md::frmWiperStateMsg","0303_Communication_Specification.md::frmWiperStateMsg","","canoe/cfg/channel_assign/Body/BODY_GW.can","","Owner-based 3/3/5 reassignment (G2 candidate); pending G1 approval.","Approved","이준영","2026-03-06"
"body_can.dbc","frmSeatBeltStateMsg","0x217","535","2","3","7","0x267","615","Medium","DRV_STATE_MGR","0302_NWflowDef.md::frmSeatBeltStateMsg","0303_Communication_Specification.md::frmSeatBeltStateMsg","","canoe/cfg/channel_assign/Body/DRV_STATE_MGR.can","","Owner-based 3/3/5 reassignment (G2 candidate); pending G1 approval.","Approved","이준영","2026-03-06"
"body_can.dbc","frmCabinAirStateMsg","0x218","536","2","3","8","0x268","616","Medium","DRV_STATE_MGR","0302_NWflowDef.md::frmCabinAirStateMsg","0303_Communication_Specification.md::frmCabinAirStateMsg","","canoe/cfg/channel_assign/Body/DRV_STATE_MGR.can","","Owner-based 3/3/5 reassignment (G2 candidate); pending G1 approval.","Approved","이준영","2026-03-06"
"body_can.dbc","frmBodyHealthMsg","0x219","537","2","3","9","0x269","617","Medium","BODY_GW","0302_NWflowDef.md::frmBodyHealthMsg","0303_Communication_Specification.md::frmBodyHealthMsg","","canoe/cfg/channel_assign/Body/BODY_GW.can","","Owner-based 3/3/5 reassignment (G2 candidate); pending G1 approval.","Approved","이준영","2026-03-06"
"infotainment_can.dbc","frmClusterWarningMsg","0x220","544","2","4","0","0x280","640","Medium","IVI_GW","0302_NWflowDef.md::frmClusterWarningMsg","0303_Communication_Specification.md::frmClusterWarningMsg","","canoe/cfg/channel_assign/Infotainment/IVI_GW.can","","Owner-based 3/3/5 reassignment (G2 candidate); pending G1 approval.","Approved","이준영","2026-03-06"
"infotainment_can.dbc","frmClusterBaseStateMsg","0x221","545","2","4","1","0x281","641","Medium","IVI_GW","0302_NWflowDef.md::frmClusterBaseStateMsg","0303_Communication_Specification.md::frmClusterBaseStateMsg","","canoe/cfg/channel_assign/Infotainment/IVI_GW.can","","Owner-based 3/3/5 reassignment (G2 candidate); pending G1 approval.","Approved","이준영","2026-03-06"
"infotainment_can.dbc","frmNaviGuideStateMsg","0x222","546","2","4","2","0x282","642","Medium","INFOTAINMENT_GW","0302_NWflowDef.md::frmNaviGuideStateMsg","0303_Communication_Specification.md::frmNaviGuideStateMsg","","canoe/cfg/channel_assign/Infotainment/INFOTAINMENT_GW.can","","Owner-based 3/3/5 reassignment (G2 candidate); pending G1 approval.","Approved","이준영","2026-03-06"
"infotainment_can.dbc","frmMediaStateMsg","0x223","547","2","4","3","0x283","643","Medium","IVI_GW","0302_NWflowDef.md::frmMediaStateMsg","0303_Communication_Specification.md::frmMediaStateMsg","","canoe/cfg/channel_assign/Infotainment/IVI_GW.can","","Owner-based 3/3/5 reassignment (G2 candidate); pending G1 approval.","Approved","이준영","2026-03-06"
"infotainment_can.dbc","frmCallStateMsg","0x224","548","2","4","4","0x284","644","Medium","IVI_GW","0302_NWflowDef.md::frmCallStateMsg","0303_Communication_Specification.md::frmCallStateMsg","","canoe/cfg/channel_assign/Infotainment/IVI_GW.can","","Owner-based 3/3/5 reassignment (G2 candidate); pending G1 approval.","Approved","이준영","2026-03-06"
"infotainment_can.dbc","frmNavigationRouteMsg","0x225","549","2","4","5","0x285","645","Medium","INFOTAINMENT_GW","0302_NWflowDef.md::frmNavigationRouteMsg","0303_Communication_Specification.md::frmNavigationRouteMsg","","canoe/cfg/channel_assign/Infotainment/INFOTAINMENT_GW.can","","Owner-based 3/3/5 reassignment (G2 candidate); pending G1 approval.","Approved","이준영","2026-03-06"
"infotainment_can.dbc","frmClusterThemeMsg","0x226","550","2","4","6","0x286","646","Medium","IVI_GW","0302_NWflowDef.md::frmClusterThemeMsg","0303_Communication_Specification.md::frmClusterThemeMsg","","canoe/cfg/channel_assign/Infotainment/IVI_GW.can","","Owner-based 3/3/5 reassignment (G2 candidate); pending G1 approval.","Approved","이준영","2026-03-06"
