tier,test_id,scenario_id,input_ts_ms,output_ts_ms,latency_ms,rule_type,rule_ms,expected,observed,verdict,owner,run_date,evidence_log_path,evidence_capture_path,note,computed_latency_ms,computed_rule_expr,computed_verdict,computed_period_verdict,computed_logic_verdict,computed_comm_verdict
UT,UT_ADAS_001,2,0,120,,LE,150,warning level reflects overspeed,"level=3,type=3,color=3,pattern=5",,,,canoe/logging/evidence/UT/raw_write_window.txt,canoe/logging/evidence/UT/captures/UT_ADAS_001_01_vehicle.png,,120.000,latency <= 150.0,FAIL,PASS,,
UT,UT_EMS_RX_001,6,0,1080,,BETWEEN,1000:1300,timeoutClear=1 after no update,"timeoutClear=1,level=0,code=0",,,,canoe/logging/evidence/UT/raw_write_window.txt,canoe/logging/evidence/UT/captures/UT_EMS_RX_001_03_monitor.png,,1080.000,1000.0 <= latency <= 1300.0,FAIL,PASS,,
IT,IT_OUT_001,4,0,140,,LE,150,ambient/cluster output follow selected alert,"ambientColor=6,warningTextCode=101",,,,canoe/logging/evidence/IT/raw_write_window.txt,canoe/logging/evidence/IT/captures/IT_OUT_001_01_vehicle.png,,140.000,latency <= 150.0,FAIL,PASS,,
IT,IT_BASE_PT_001,200,0,95,,LE,100,powertrain baseline comm periodic behavior,engine/gear reflected,,,,canoe/logging/evidence/IT/raw_write_window.txt,canoe/logging/evidence/IT/captures/IT_BASE_PT_001_02_control.png,,95.000,latency <= 100.0,FAIL,PASS,,
ST,ST_TIMEOUT_001,6,0,1110,,BETWEEN,1000:1300,safe clear and return path,timeout clear observed and warning reset,,,,canoe/logging/evidence/ST/raw_write_window.txt,canoe/logging/evidence/ST/captures/ST_TIMEOUT_001_03_monitor.png,,1110.000,1000.0 <= latency <= 1300.0,FAIL,PASS,,
ST,ST_V2_FAILSAFE_001,18,0,145,,LE,150,failSafeMode transition and decel block,"failSafeMode=1,decelAssistReq=0",,,,canoe/logging/evidence/ST/raw_write_window.txt,canoe/logging/evidence/ST/captures/ST_V2_FAILSAFE_001_01_vehicle.png,,145.000,latency <= 150.0,FAIL,PASS,,
