tier,test_id,scenario_id,input_ts_ms,output_ts_ms,latency_ms,rule_type,rule_ms,expected,observed,logic_verdict,comm_verdict,verdict,owner,run_date,evidence_log_path,evidence_capture_path,note
UT,UT_ADAS_001,2,1000,1120,120,LE,150,overspeed warning logic,"level=3,type=3,code=301,timeout=0,risk=55,decel=0,failSafe=0,renderType=3,renderCode=301",PASS,PASS,,TBD,2026-03-06,canoe/logging/evidence/UT/20260306_qa/raw_write_window.txt,canoe/logging/evidence/UT/20260306_qa/captures/UT_ADAS_001_01_vehicle.png,
UT,UT_EMS_RX_001,6,2000,3080,1080,BETWEEN,1000:1300,timeout clear after no emergency update,"level=0,type=0,code=0,timeout=1,risk=0,decel=0,failSafe=0,renderType=0,renderCode=0",PASS,PASS,,TBD,2026-03-06,canoe/logging/evidence/UT/20260306_qa/raw_write_window.txt,canoe/logging/evidence/UT/20260306_qa/captures/UT_EMS_RX_001_03_monitor.png,
IT,IT_OUT_001,4,4000,4140,140,LE,150,Core->Body/Cluster output chain,"level=6,type=1,code=101,timeout=0,risk=80,decel=0,failSafe=0,renderType=1,renderCode=101",PASS,PASS,,TBD,2026-03-06,canoe/logging/evidence/IT/20260306_qa/raw_write_window.txt,canoe/logging/evidence/IT/20260306_qa/captures/IT_OUT_001_01_vehicle.png,
IT,IT_BASE_PT_001,200,5000,5095,95,LE,100,powertrain baseline periodic comm,"level=0,type=0,code=0,timeout=0,risk=0,decel=0,failSafe=0,renderType=0,renderCode=0",PASS,PASS,,TBD,2026-03-06,canoe/logging/evidence/IT/20260306_qa/raw_write_window.txt,canoe/logging/evidence/IT/20260306_qa/captures/IT_BASE_PT_001_02_control.png,
ST,ST_TIMEOUT_001,6,2000,3080,1080,BETWEEN,1000:1300,system timeout clear and return path,"level=0,type=0,code=0,timeout=1,risk=0,decel=0,failSafe=0,renderType=0,renderCode=0",PASS,PASS,,TBD,2026-03-06,canoe/logging/evidence/ST/20260306_qa/raw_write_window.txt,canoe/logging/evidence/ST/20260306_qa/captures/ST_TIMEOUT_001_03_monitor.png,
ST,ST_V2_FAILSAFE_001,18,6000,6145,145,LE,150,failsafe transition blocks decel assist,"level=6,type=1,code=101,timeout=0,risk=90,decel=0,failSafe=2,renderType=1,renderCode=101",PASS,PASS,,TBD,2026-03-06,canoe/logging/evidence/ST/20260306_qa/raw_write_window.txt,canoe/logging/evidence/ST/20260306_qa/captures/ST_V2_FAILSAFE_001_01_vehicle.png,
