tier,test_id,scenario_id,input_ts_ms,output_ts_ms,latency_ms,rule_type,rule_ms,expected,observed,logic_verdict,comm_verdict,verdict,owner,run_date,evidence_log_path,evidence_capture_path,note,computed_latency_ms,computed_rule_expr,computed_period_verdict,computed_logic_verdict,computed_comm_verdict,computed_verdict
UT,UT_ADAS_001,2,,,,LE,150,overspeed warning logic,selectedAlertLevel/type and ambient output observed,,,,TBD,,canoe/logging/evidence/UT/20260306_qa/raw_write_window.txt,canoe/logging/evidence/UT/20260306_qa/captures/UT_ADAS_001_01_vehicle.png,,,latency missing,FAIL,,,FAIL
UT,UT_EMS_RX_001,6,,,,BETWEEN,1000:1300,timeout clear after no emergency update,timeoutClear pulse and warning reset observed,,,,TBD,,canoe/logging/evidence/UT/20260306_qa/raw_write_window.txt,canoe/logging/evidence/UT/20260306_qa/captures/UT_EMS_RX_001_03_monitor.png,,,latency missing,FAIL,,,FAIL
IT,IT_OUT_001,4,,,,LE,150,Core->Body/Cluster output chain,ambient/cluster and UiRender mirror observed,,,,TBD,,canoe/logging/evidence/IT/20260306_qa/raw_write_window.txt,canoe/logging/evidence/IT/20260306_qa/captures/IT_OUT_001_01_vehicle.png,,,latency missing,FAIL,,,FAIL
IT,IT_BASE_PT_001,200,,,,LE,100,powertrain baseline periodic comm,engine/gear state reflected on path,,,,TBD,,canoe/logging/evidence/IT/20260306_qa/raw_write_window.txt,canoe/logging/evidence/IT/20260306_qa/captures/IT_BASE_PT_001_02_control.png,,,latency missing,FAIL,,,FAIL
ST,ST_TIMEOUT_001,6,,,,BETWEEN,1000:1300,system timeout clear and return path,timeout clear + alert reset + renderer clear observed,,,,TBD,,canoe/logging/evidence/ST/20260306_qa/raw_write_window.txt,canoe/logging/evidence/ST/20260306_qa/captures/ST_TIMEOUT_001_03_monitor.png,,,latency missing,FAIL,,,FAIL
ST,ST_V2_FAILSAFE_001,18,,,,LE,150,failsafe transition blocks decel assist,failSafeMode and decelAssistReq outputs observed,,,,TBD,,canoe/logging/evidence/ST/20260306_qa/raw_write_window.txt,canoe/logging/evidence/ST/20260306_qa/captures/ST_V2_FAILSAFE_001_01_vehicle.png,,,latency missing,FAIL,,,FAIL
