domain_dbc,message_name,old_id_hex,old_id_dec,new_tier,new_group,new_index,new_id_hex,new_id_dec,priority_class,owner_ecu,flow_ref,comm_ref,var_ref,code_ref,test_ref,impact_note,status,approver,approved_date
body_can.dbc,frmBcmDiagResMsg,0x249,585,,,,,,,,,,,,,AMBIENT_CTRL,,,,
body_can.dbc,frmImmobilizerStateMsg,0x24A,586,,,,,,,,,,,,,BODY_GW,,,,
body_can.dbc,frmAlarmStateMsg,0x24B,587,,,,,,,,,,,,,BODY_GW,,,,
body_can.dbc,frmBodyGatewayStateMsg,0x24C,588,,,,,,,,,,,,,BODY_GW,,,,
body_can.dbc,frmBodyComfortStateMsg,0x24D,589,,,,,,,,,,,,,BODY_GW,,,,
infotainment_can.dbc,frmAudioFocusMsg,0x260,608,,,,,,,,,,,,,IVI_GW,,,,
infotainment_can.dbc,frmVoiceAssistStateMsg,0x261,609,,,,,,,,,,,,,IVI_GW,,,,
infotainment_can.dbc,frmMapRenderStateMsg,0x262,610,,,,,,,,,,,,,INFOTAINMENT_GW,,,,
infotainment_can.dbc,frmRouteAlertMsg,0x263,611,,,,,,,,,,,,,INFOTAINMENT_GW,,,,
infotainment_can.dbc,frmTrafficEventMsg,0x264,612,,,,,,,,,,,,,INFOTAINMENT_GW,,,,
infotainment_can.dbc,frmPhoneProjectionMsg,0x265,613,,,,,,,,,,,,,IVI_GW,,,,
infotainment_can.dbc,frmClusterNotifMsg,0x266,614,,,,,,,,,,,,,IVI_GW,,,,
infotainment_can.dbc,frmIviDiagReqMsg,0x267,615,,,,,,,,,,,,,VAL_SCENARIO_CTRL,,,,
infotainment_can.dbc,frmIviDiagResMsg,0x268,616,,,,,,,,,,,,,INFOTAINMENT_GW,,,,
infotainment_can.dbc,frmMediaMetaMsg,0x269,617,,,,,,,,,,,,,IVI_GW,,,,
infotainment_can.dbc,frmSpeechTtsStateMsg,0x26A,618,,,,,,,,,,,,,IVI_GW,,,,
infotainment_can.dbc,frmConnectivityStateMsg,0x26B,619,,,,,,,,,,,,,INFOTAINMENT_GW,,,,
infotainment_can.dbc,frmIviHealthDetailMsg,0x26C,620,,,,,,,,,,,,,INFOTAINMENT_GW,,,,
infotainment_can.dbc,frmClusterSyncStateMsg,0x26D,621,,,,,,,,,,,,,IVI_GW,,,,
powertrain_can.dbc,frmIgnitionEngineMsg,0x300,768,,,,,,,,,,,,,VAL_SCENARIO_CTRL,,,,
powertrain_can.dbc,frmGearStateMsg,0x301,769,,,,,,,,,,,,,VAL_SCENARIO_CTRL,,,,
powertrain_can.dbc,frmPowertrainGatewayMsg,0x302,770,,,,,,,,,,,,,DOMAIN_ROUTER,,,,
powertrain_can.dbc,frmEngineSpeedTempMsg,0x303,771,,,,,,,,,,,,,ENG_CTRL,,,,
powertrain_can.dbc,frmFuelBatteryStateMsg,0x304,772,,,,,,,,,,,,,ENG_CTRL,,,,
powertrain_can.dbc,frmThrottleStateMsg,0x305,773,,,,,,,,,,,,,ENG_CTRL,,,,
powertrain_can.dbc,frmTransmissionTempMsg,0x306,774,,,,,,,,,,,,,TCM,,,,
powertrain_can.dbc,frmVehicleModeMsg,0x307,775,,,,,,,,,,,,,DOMAIN_ROUTER,,,,
powertrain_can.dbc,frmPowerLimitMsg,0x308,776,,,,,,,,,,,,,DOMAIN_ROUTER,,,,
powertrain_can.dbc,frmCruiseStateMsg,0x309,777,,,,,,,,,,,,,DOMAIN_ROUTER,,,,
powertrain_can.dbc,frmPowertrainHealthMsg,0x30A,778,,,,,,,,,,,,,DOMAIN_ROUTER,,,,
powertrain_can.dbc,frmEngineTorqueMsg,0x30B,779,,,,,,,,,,,,,ENG_CTRL,,,,
powertrain_can.dbc,frmEngineLoadMsg,0x30C,780,,,,,,,,,,,,,ENG_CTRL,,,,
powertrain_can.dbc,frmTransShiftStateMsg,0x30D,781,,,,,,,,,,,,,TCM,,,,
powertrain_can.dbc,frmPtDiagReqMsg,0x30E,782,,,,,,,,,,,,,VAL_SCENARIO_CTRL,,,,
powertrain_can.dbc,frmPtDiagResMsg,0x30F,783,,,,,,,,,,,,,DOMAIN_ROUTER,,,,
powertrain_can.dbc,frmThermalMgmtStateMsg,0x310,784,,,,,,,,,,,,,ENG_CTRL,,,,
powertrain_can.dbc,frmEnergyFlowStateMsg,0x311,785,,,,,,,,,,,,,DOMAIN_ROUTER,,,,
powertrain_can.dbc,frmPowertrainCtrlAuthMsg,0x312,786,,,,,,,,,,,,,DOMAIN_ROUTER,,,,
adas_can.dbc,ethEmergencyRiskMsg,0x313,787,,,,,,,,,,,,,ADAS_WARN_CTRL,,,,
eth_backbone_can_stub.dbc,ethDecelAssistReqMsg,0x314,788,,,,,,,,,,,,,WARN_ARB_MGR,,,,
eth_backbone_can_stub.dbc,ethFailSafeStateMsg,0x315,789,,,,,,,,,,,,,DOMAIN_BOUNDARY_MGR,,,,
